Date/Time,Average Glucose level
Monday 12am,8.06
Monday 1am,7.83
Monday 2am,7.61
Monday 3am,8.33
Monday 4am,9.28
Monday 5am,7.83
Monday 6am,6.78
Monday 7am,5.67
Monday 8am,3.61
Monday 9am,2.39
Monday 10am,2.22
Monday 11am,7.39
Monday 12pm,6.22
Monday 1pm,2.61
Monday 2pm,7.11
Monday 3pm,7.94
Monday 4pm,7.33
Monday 5pm,6.11
Monday 6pm,6.61
Monday 7pm,5.56
Monday 8pm,4.44
Monday 9pm,3.22
Monday 10pm,4.61
Monday 11pm,4.72
Tuesday 12am,11.4
Tuesday 1am,9.28
Tuesday 2am,8.06
Tuesday 3am,7.72
Tuesday 4am,6.89
Tuesday 5am,5.94
Tuesday 6am,5.28
Tuesday 7am,4
Tuesday 8am,3.17
Tuesday 9am,5.67
Tuesday 10am,5.06
Tuesday 11am,3.36
Tuesday 12pm,3.78
Tuesday 1pm,4.2
Tuesday 2pm,4.62
Tuesday 3pm,5.04
Tuesday 4pm,5.46
Tuesday 5pm,5.89
Tuesday 6pm,6.31
Tuesday 7pm,6.73
Tuesday 8pm,7.15
Tuesday 9pm,7.57
Tuesday 10pm,9
Tuesday 11pm,7.61
Wednesday 12am,3.56
Wednesday 1am,5.2
Wednesday 2am,8.67
Wednesday 3am,11.06
Wednesday 4am,11.06
Wednesday 5am,10.61
Wednesday 6am,10.17
Wednesday 7am,8.72
Wednesday 8am,7.39
Wednesday 9am,6.22
Wednesday 10am,10.72
Wednesday 11am,11.11
Wednesday 12pm,6.33
Wednesday 1pm,3.22
Wednesday 2pm,5.5
Wednesday 3pm,4.5
Wednesday 4pm,4
Wednesday 5pm,4.83
Wednesday 6pm,5.44
Wednesday 7pm,7.56
Wednesday 8pm,9.56
Wednesday 9pm,11.28
Wednesday 10pm,10.78
Wednesday 11pm,8.83
Thursday 12am,10.11
Thursday 1am,10
Thursday 2am,10.81
Thursday 3am,11.17
Thursday 4am,10.17
Thursday 5am,10.83
Thursday 6am,9.94
Thursday 7am,9.33
Thursday 8am,8.67
Thursday 9am,8.5
Thursday 10am,7.33
Thursday 11am,9
Thursday 12pm,12.67
Thursday 1pm,11.33
Thursday 2pm,6.06
Thursday 3pm,8.22
Thursday 4pm,8.56
Thursday 5pm,7.06
Thursday 6pm,7.56
Thursday 7pm,4.06
Thursday 8pm,2.89
Thursday 9pm,10.56
Thursday 10pm,11.89
Thursday 11pm,4.06
Friday 12am,7.67
Friday 1am,7.72
Friday 2am,5.83
Friday 3am,6.33
Friday 4am,7.72
Friday 5am,9
Friday 6am,8.94
Friday 7am,8.61
Friday 8am,7.56
Friday 9am,7.11
Friday 10am,8.22
Friday 11am,8.33
Friday 12pm,8.44
Friday 1pm,6.39
Friday 2pm,13.5
Friday 3pm,13.89
Friday 4pm,8.22
Friday 5pm,6.44
Friday 6pm,7.17
Friday 7pm,9.56
Friday 8pm,11.67
Friday 9pm,14.17
Friday 10pm,13.89
Friday 11pm,12.22
Saturday 12am,8.5
Saturday 1am,7.89
Saturday 2am,7.11
Saturday 3am,6.22
Saturday 4am,5.11
Saturday 5am,3.67
Saturday 6am,3
Saturday 7am,2.22
Saturday 8am,2.22
Saturday 9am,7.28
Saturday 10am,3.94
Saturday 11am,3.39
Saturday 12pm,7.72
Saturday 1pm,8.67
Saturday 2pm,7.89
Saturday 3pm,8.83
Saturday 4pm,9.67
Saturday 5pm,8.33
Saturday 6pm,7.17
Saturday 7pm,7.78
Saturday 8pm,10.06
Saturday 9pm,9.33
Saturday 10pm,11.17
Saturday 11pm,7.92
Sunday 12am,5.45
Sunday 1am,7.13
Sunday 2am,9.61
Sunday 3am,11.06
Sunday 4am,10.22
Sunday 5am,8.94
Sunday 6am,8.11
Sunday 7am,6.5
Sunday 8am,5.28
Sunday 9am,4.11
Sunday 10am,3.94
Sunday 11am,6.94
Sunday 12pm,3.5
Sunday 1pm,2.22
Sunday 2pm,4.28
Sunday 3pm,6.06
Sunday 4pm,4.44
Sunday 5pm,5.28
Sunday 6pm,4.94
Sunday 7pm,8
Sunday 8pm,9.17
Sunday 9pm,8.67
Sunday 10pm,8.11
Sunday 11pm,5.83
