Date/Time,Average Glucose level
Sunday 12am,69.75
Sunday 1am,150.42
Sunday 2am,150.42
Sunday 3am,143.42
Sunday 4am,150.0
Sunday 5am,155.5
Sunday 6am,159.42
Sunday 7am,137.17
Sunday 8am,138.75
Sunday 9am,127.33
Sunday 10am,113.5
Sunday 11am,157.42
Sunday 12pm,150.75
Sunday 1pm,86.92
Sunday 2pm,59.5
Sunday 3pm,73.17
Sunday 4pm,98.83
Sunday 5pm,110.08
Sunday 6pm,161.5
Sunday 7pm,279.83
Sunday 8pm,340.92
Sunday 9pm,359.42
Sunday 10pm,351.67
Sunday 11pm,352.83
Monday 12am,311.92
Monday 1am,230.0
Monday 2am,191.67
Monday 3am,188.5
Monday 4am,164.25
Monday 5am,141.25
Monday 6am,118.0
Monday 7am,133.75
Monday 8am,212.33
Monday 9am,167.0
Monday 10am,130.25
Monday 11am,119.67
Monday 12pm,120.67
Monday 1pm,126.08
Monday 2pm,176.83
Monday 3pm,191.42
Monday 4pm,167.25
Monday 5pm,145.0
Monday 6pm,139.75
Monday 7pm,192.0
Monday 8pm,226.83
Monday 9pm,309.17
Monday 10pm,325.0
Monday 11pm,248.78
Tuesday 12am,189.28
Tuesday 1am,132.03
Tuesday 2am,98.58
Tuesday 3am,84.75
Tuesday 4am,67.08
Tuesday 5am,53.33
Tuesday 6am,49.75
Tuesday 7am,42.42
Tuesday 8am,42.42
Tuesday 9am,92.83
Tuesday 10am,197.92
Tuesday 11am,233.58
Tuesday 12pm,201.42
Tuesday 1pm,244.58
Tuesday 2pm,262.75
Tuesday 3pm,212.58
Tuesday 4pm,144.08
Tuesday 5pm,80.58
Tuesday 6pm,59.42
Tuesday 7pm,65.5
Tuesday 8pm,75.0
Tuesday 9pm,104.08
Tuesday 10pm,149.5
Tuesday 11pm,138.08
Wednesday 12am,87.21
Wednesday 1am,47.33
Wednesday 2am,40.0
Wednesday 3am,40.0
Wednesday 4am,40.0
Wednesday 5am,42.42
Wednesday 6am,49.58
Wednesday 7am,60.0
Wednesday 8am,84.17
Wednesday 9am,163.25
Wednesday 10am,191.92
Wednesday 11am,185.83
Wednesday 12pm,232.08
Wednesday 1pm,205.17
Wednesday 2pm,184.17
Wednesday 3pm,178.42
Wednesday 4pm,138.67
Wednesday 5pm,93.0
Wednesday 6pm,79.75
Wednesday 7pm,68.92
Wednesday 8pm,58.58
Wednesday 9pm,64.75
Wednesday 10pm,148.83
Wednesday 11pm,155.67
Thursday 12am,131.83
Thursday 1am,104.58
Thursday 2am,67.33
Thursday 3am,48.33
Thursday 4am,40.0
Thursday 5am,40.0
Thursday 6am,40.0
Thursday 7am,40.0
Thursday 8am,49.92
Thursday 9am,107.83
Thursday 10am,82.67
Thursday 11am,69.08
Thursday 12pm,182.25
Thursday 1pm,211.5
Thursday 2pm,197.75
Thursday 3pm,191.75
Thursday 4pm,170.25
Thursday 5pm,126.08
Thursday 6pm,97.5
Thursday 7pm,67.67
Thursday 8pm,142.75
Thursday 9pm,230.42
Thursday 10pm,209.75
Thursday 11pm,136.0
Friday 12am,92.25
Friday 1am,60.92
Friday 2am,54.75
Friday 3am,51.92
Friday 4am,52.67
Friday 5am,51.08
Friday 6am,45.08
Friday 7am,65.08
Friday 8am,72.58
Friday 9am,65.17
Friday 10am,63.25
Friday 11am,153.42
Friday 12pm,151.33
Friday 1pm,141.17
Friday 2pm,150.33
Friday 3pm,214.5
Friday 4pm,218.33
Friday 5pm,154.33
Friday 6pm,84.92
Friday 7pm,55.83
Friday 8pm,74.83
Friday 9pm,204.5
Friday 10pm,327.0
Friday 11pm,325.62
Saturday 12am,260.17
Saturday 1am,185.04
Saturday 2am,132.17
Saturday 3am,101.5
Saturday 4am,94.0
Saturday 5am,85.67
Saturday 6am,81.42
Saturday 7am,70.67
Saturday 8am,65.42
Saturday 9am,87.67
Saturday 10am,107.92
Saturday 11am,86.17
Saturday 12pm,58.58
Saturday 1pm,154.0
Saturday 2pm,219.5
Saturday 3pm,207.17
Saturday 4pm,179.67
Saturday 5pm,138.58
Saturday 6pm,129.33
Saturday 7pm,148.83
Saturday 8pm,165.0
Saturday 9pm,175.42
Saturday 10pm,180.75
Saturday 11pm,156.33
