Date/Time,Average Glucose level
Wednesday 12am,255.21
Wednesday 1am,199.42
Wednesday 2am,151.17
Wednesday 3am,115.83
Wednesday 4am,92.25
Wednesday 5am,69.42
Wednesday 6am,59.58
Wednesday 7am,57.08
Wednesday 8am,57.25
Wednesday 9am,73.12
Wednesday 10am,190.92
Wednesday 11am,271.75
Wednesday 12pm,254.42
Wednesday 1pm,225.83
Wednesday 2pm,232.17
Wednesday 3pm,247.33
Wednesday 4pm,201.42
Wednesday 5pm,198.17
Wednesday 6pm,211.67
Wednesday 7pm,229.83
Wednesday 8pm,252.25
Wednesday 9pm,256.5
Wednesday 10pm,283.58
Wednesday 11pm,294.99
Thursday 12am,289.66
Thursday 1am,289.19
Thursday 2am,288.71
Thursday 3am,288.24
Thursday 4am,287.76
Thursday 5am,287.28
Thursday 6am,286.81
Thursday 7am,286.33
Thursday 8am,285.86
Thursday 9am,285.38
Thursday 10am,284.9
Thursday 11am,284.43
Thursday 12pm,283.95
Thursday 1pm,283.48
Thursday 2pm,283.0
Thursday 3pm,282.53
Thursday 4pm,282.05
Thursday 5pm,281.57
Thursday 6pm,281.1
Thursday 7pm,280.62
Thursday 8pm,280.15
Thursday 9pm,279.67
Thursday 10pm,279.19
Thursday 11pm,278.72
Friday 12am,278.24
Friday 1am,277.77
Friday 2am,277.29
Friday 3am,276.81
Friday 4am,276.34
Friday 5am,275.86
Friday 6am,275.39
Friday 7am,274.91
Friday 8am,274.44
Friday 9am,273.96
Friday 10am,273.48
Friday 11am,273.01
Friday 12pm,272.53
Friday 1pm,272.06
Friday 2pm,271.58
Friday 3pm,271.1
Friday 4pm,270.63
Friday 5pm,270.15
Friday 6pm,269.68
Friday 7pm,269.2
Friday 8pm,268.73
Friday 9pm,268.25
Friday 10pm,267.77
Friday 11pm,267.3
Saturday 12am,266.82
Saturday 1am,266.35
Saturday 2am,265.87
Saturday 3am,265.39
Saturday 4am,264.92
Saturday 5am,264.44
Saturday 6am,263.97
Saturday 7am,263.49
Saturday 8am,263.02
Saturday 9am,262.54
Saturday 10am,262.06
Saturday 11am,261.59
Saturday 12pm,261.11
Saturday 1pm,260.64
Saturday 2pm,260.16
Saturday 3pm,259.68
Saturday 4pm,259.21
Saturday 5pm,258.73
Saturday 6pm,258.26
Saturday 7pm,257.78
Saturday 8pm,257.31
Saturday 9pm,256.83
Saturday 10pm,256.35
Saturday 11pm,255.88
Sunday 12am,255.4
Sunday 1am,254.93
Sunday 2am,254.45
Sunday 3am,253.97
Sunday 4am,253.5
Sunday 5am,253.02
Sunday 6am,252.55
Sunday 7am,252.07
Sunday 8am,251.59
Sunday 9am,251.12
Sunday 10am,250.64
Sunday 11am,250.17
Sunday 12pm,249.69
Sunday 1pm,249.22
Sunday 2pm,248.74
Sunday 3pm,248.26
Sunday 4pm,247.79
Sunday 5pm,247.31
Sunday 6pm,246.84
Sunday 7pm,246.36
Sunday 8pm,245.88
Sunday 9pm,245.41
Sunday 10pm,244.93
Sunday 11pm,244.46
Monday 12am,243.98
Monday 1am,243.51
Monday 2am,243.03
Monday 3am,242.55
Monday 4am,242.08
Monday 5am,241.6
Monday 6am,241.13
Monday 7am,240.65
Monday 8am,240.17
Monday 9am,239.7
Monday 10am,239.22
Monday 11am,238.75
Monday 12pm,238.27
Monday 1pm,237.8
Monday 2pm,237.32
Monday 3pm,236.84
Monday 4pm,236.37
Monday 5pm,235.89
Monday 6pm,235.42
Monday 7pm,234.94
Monday 8pm,234.46
Monday 9pm,233.99
Monday 10pm,233.51
Monday 11pm,233.04
Tuesday 12am,232.56
Tuesday 1am,232.09
Tuesday 2am,231.61
Tuesday 3am,231.13
Tuesday 4am,230.66
Tuesday 5am,230.18
Tuesday 6am,229.71
Tuesday 7am,229.23
Tuesday 8am,228.75
Tuesday 9am,228.28
Tuesday 10am,227.8
Tuesday 11am,227.33
Tuesday 12pm,226.85
Tuesday 1pm,226.37
Tuesday 2pm,225.9
Tuesday 3pm,225.42
Tuesday 4pm,224.95
Tuesday 5pm,224.47
Tuesday 6pm,224.0
Tuesday 7pm,223.52
Tuesday 8pm,223.04
Tuesday 9pm,222.57
Tuesday 10pm,222.09
Tuesday 11pm,221.62
